HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-35-4123_T_LUAD	0.766960504790006	Hot	50.5517	10.9398	1.1851	0.3515	97.7145
TCGA-49-6761_T_LUAD	0.573416307751143	Hot	34.2605	0.7352	1.2518	0.2864	244.9607
TCGA-55-6982_T_LUAD	0.422111186196478	Hot	8.3975	4.1135	3.1581	0.2342	14.8026
TCGA-44-A4SU_T_LUAD	-0.349539886898944	Cold	5.6429	3.0965	2.9977	0.7749	81.909
TCGA-86-8279_T_LUAD	-0.886827856123982	Cold	2.3974	6.4117	0.8933	0.1555	50.2827
TCGA-05-4396_T_LUAD	-0.61079360839757	Cold	2.7633	1.0243	0.598	0.3104	35.8997
TCGA-86-8358_T_LUAD	-0.381210875708864	Cold	5.8579	0.8444	1.0798	1.6291	11.9451
TCGA-55-7815_T_LUAD	0.356764909020084	Hot	10.6864	6.7175	0.0556	0.8414	18.0666
TCGA-78-7162_T_LUAD	0.590458010729108	Hot	4.8729	6.2011	2.3732	0.7695	111.6204
TCGA-NJ-A55A_T_LUAD	0.36316276433772	Hot	10.6825	15.6797	11.7632	3.2923	39.4078
TCGA-MN-A4N1_T_LUAD	-0.801246448286841	Cold	4.2024	1.6566	0.6959	0.0546	63.3152
TCGA-44-2668_T_LUAD	0.328162113395945	Hot	17.0367	0.8061	0.4365	0.801	28.2969
TCGA-44-6777_T_LUAD	0.652241200526341	Hot	16.0156	28.5832	1.8783	0.4708	21.7606
TCGA-55-8301_T_LUAD	0.838306337027647	Hot	29.211	2.2647	2.5738	1.0823	60.201
TCGA-05-4422_T_LUAD	0.533690534588938	Hot	5.2788	3.4242	1.3658	1.6754	6.0744
TCGA-49-4506_T_LUAD	0.530608866920641	Hot	2.1748	0.2334	1.1748	0.291	4.1898
TCGA-05-4417_T_LUAD	0.756464853425511	Hot	7.2986	3.9497	3.8818	1.05	52.796
TCGA-75-5146_T_LUAD	0.322384026610583	Hot	2.4764	4.3765	5.7033	0.8174	45.3536
TCGA-62-A46O_T_LUAD	-0.810866013071071	Cold	2.9408	0.1235	0.032	0.1711	3.8481
TCGA-97-8552_T_LUAD	-0.213326651895516	Cold	5.2901	9.2089	4.3125	0.9074	26.0793
TCGA-MP-A5C7_T_LUAD	-0.745419699395013	Cold	1.6814	1.747	0.4964	0.4225	27.1733
TCGA-86-8074_T_LUAD	-0.382129644345489	Cold	10.6759	10.9777	0.7973	0.293	138.0289
TCGA-97-7937_T_LUAD	-0.82653097470789	Cold	2.2627	2.4888	0.3406	0.1136	56.9681
TCGA-97-8175_T_LUAD	-0.429896183834826	Cold	21.5997	11.6235	0.7524	0.1373	156.8828
TCGA-97-A4M7_T_LUAD	0.359738488533132	Hot	11.3251	12.7407	3.2706	0.9012	144.3505
TCGA-05-4420_T_LUAD	-0.778008667234206	Cold	1.4145	0.3381	6.428	0.2118	31.4039
TCGA-91-8497_T_LUAD	0.308879767011184	Hot	6.0983	9.4091	7.6209	1.4971	27.1538
TCGA-38-4632_T_LUAD	0.548229999640701	Hot	16.1031	13.0483	1.3196	0.2491	19.0366
TCGA-69-7979_T_LUAD	-0.724163700869803	Cold	6.5428	0.8534	0.2514	0.2556	91.4189
TCGA-78-7163_T_LUAD	-0.587087249427799	Cold	10.3006	1.3096	0.208	0.1666	39.5498
TCGA-86-7701_T_LUAD	0.580866091444458	Hot	6.7359	1.6683	1.0203	1.3618	13.2476
TCGA-67-3770_T_LUAD	0.0648767129300163	Hot	3.9998	10.2652	1.3171	0.4688	31.4442
TCGA-38-4629_T_LUAD	0.703189007986701	Hot	25.1666	11.4432	0.4726	0.2421	50.3284
TCGA-55-6972_T_LUAD	-0.75774367718022	Cold	0.7742	0.3766	0.9773	0.1304	9.2273
TCGA-MP-A4TA_T_LUAD	-0.350001043372269	Cold	6.2631	0.265	2.4978	0.6321	7.4668
TCGA-50-5931_T_LUAD	-0.792631579447305	Cold	1.5828	0.4563	0.7548	0.1975	16.9561
TCGA-55-7994_T_LUAD	0.653937749929796	Hot	89.9848	1.2291	4.2498	1.1087	17.0541
TCGA-55-7724_T_LUAD	0.46635517871575	Hot	8.5432	5.8443	0.795	1.1003	31.4461
TCGA-55-7725_T_LUAD	0.500859709601582	Hot	12.7378	14.7299	0.4546	1.1235	25.2215
